,NOM,FORMAT,#catalogue1,#catalogue2,fournisseur2,fournisseur1,prix
anticorps&autres,anti-BCl6 antibody raised in rabbits,100ug,ab13869,,,abcam,375
anticorps&autres,5M Ammonium Acetate,100 ml,9070G,,,ambion,24
anticorps&autres,5X mMESSAGE mMACHINE® T7 ULTRA Kit,50 rxns,B1345-5,,,ambion,1400
plastique,"8-strip PCR Tubes & Caps, RNase-free, 0.2 ml",125 strips (1000 tubes),12230,,,ambion,110
plastique,96 well magnetic ring stand,1,10050,,,ambion,500
anticorps&autres,MagMAX™-96 Total RNA Isolation Kit,1 kit,1830,,,ambion,225
four. labo,Magnetic Stand-96,1,10027,,,ambion,265
anticorps&autres,MicroPoly(A)Purist Kit,kit,1919,,,ambion,390
anticorps&autres,mMESSAGE mMACHINE  T7 Kit ,(Kit 25 rxns),1344,,,ambion,320
anticorps&autres,mMESSAGE mMACHINE T3 Kit ,,1348,,,ambion,320
four. labo,NorthernMax® 10X Running Buffer,1L,8671,,,ambion,140
anticorps&autres,Nuclease-free Water (not DEPC-treated),500 ml,9930,,,ambion,40
anticorps&autres,RNA queous,50purifications,1912,,,ambion,205
anticorps&autres,RNAlater®,100ml,7020,,,ambion,165
anticorps&autres,RNAseZap ,250 ml,9780,,,ambion,42
anticorps&autres,RT-PCR Grade Water,10 x 1.75 ml,9935,,,ambion,62
anticorps&autres,silencer pre designed siRNA / siRNA ID: 146609,,16708,,,ambion,195
anticorps&autres,silencer siRNA ID 143234 MHC2TA,40 nmol,16706,,,ambion,325
anticorps&autres,Silencer® GAPDH siRNA (Human),,4605,,,ambion,160
anticorps&autres,Silencer® Pre-designed siRNA siRNA ID#:  143235,20 nmol,16704,,,ambion,275
anticorps&autres,siPORT™ siRNA Electroporation Buffer,,8990,,,ambion,189
anticorps&autres,siPORT siRNA electroporation Kit,,1629,,,ambion,350
anticorps&autres,SUPERase•In™ (20 U/µl),"10,000 U",2696,,,ambion,240
anticorps&autres,TURBO DNA free,50 reactions,1907,,,ambion,78
anticorps&autres,CNBR-activated sepharose 4 fast flow,10g,17-0981-01,,,amersham biosciences,323
anticorps&autres,"ECL plus, pour 3000 cm2",3,RPN 2133,3032651,GRM,amersham biosciences,457
anticorps&autres,Ficoll Paque plus,6 x 500ml,17-1440-03,,,amersham biosciences,450
anticorps&autres,"Gel Filtration LMW Calibration Kit, 1",1 box,17-0442-01,,,amersham biosciences,276
four. labo,HR5/10 column,,18-0384-01,,,amersham biosciences,483
anticorps&autres,lambda,500,27-4111-01,,,amersham biosciences,137
four. labo,PD-10 Columns,30,17-0851-01,,,amersham biosciences,220.4
anticorps&autres,Protein A sepharose,,17-0974-01,,,amersham biosciences,487
anticorps&autres,Protein G sepharose 4 fastflow,,17-0618-01,,,amersham biosciences,536
anticorps&autres,RNAguard RNase inhibitor,1000 u,27-0815-01,,,amersham biosciences,163.52
four. labo,tuyau pompe peristaltique 2.1mm*,3,19-1006-01,,,amersham biosciences,75
four. labo,tuyau pompe peristaltique 3.1mm,3,19-1005-01,,,amersham biosciences,75
anticorps&autres,Anti-Human HLA-DP PE,,M321170,,,antigenix,250
anticorps&autres,Anti-Human HLA-DQ PE,100test,M322270,,,antigenix,250
anticorps&autres,Hybond,,RPN203G,,,apb,295.2
anticorps&autres,IPTG,5g,US17886,US17886,,apb,174
anticorps&autres,PD10,,17-0851-01,17-0851-01,,apb,210.9
anticorps&autres,"4330098 PNA Probe, ( 5' ) N-terminal with unique label-Cy5",vial,4330098 PNA ,,,applied biosystem,1396.5
anticorps&autres,PNA Probe Telomere FITC,vial,4337107,,,applied biosystem,220.5
anticorps&autres,SYBR® Green PCR Core Reagents,200 reactions,4304886,,,applied biosystem,0
anticorps&autres,"TaqMan universal PCR Master mix, No AmpErase UNG; 2-pack",400,4364341,,,applied biosystem,940.8
anticorps&autres,P815,vial,TIB-64,,,ATCC,203
anticorps&autres,Quantum FITC MESF Kit-High level,1ml,825a,,,bangs laboratoire ,268
four. labo,10X BD Perm/Wash buffer,,554723,,,bd biosciences,171.2
four. labo,5x phospho lyse/fix buffer,250ml,558049,,,bd biosciences,376.8
four. labo,70 micron nylon cells strainer,un sac,352350,,,bd biosciences,0
anticorps&autres,7-AAD staining solution,,559925,,,bd biosciences,0
anticorps&autres,A-700 conjugated anti-human Gr-B,,557971,,,bd biosciences,342.4
anticorps&autres,A-700 conjugated anti-human IFNg,,557995,,,bd biosciences,342.4
anticorps&autres,ACP- Cy7 conjugated mouse anti-human CD25,100 test,557753,,,bd biosciences,276
anticorps&autres,Active caspase-3PE apoptosis kit,2ml,559762,,,bd biosciences,444.8
four. labo,Adjustable nozzle 70um,,336828,,,bd biosciences,444
anticorps&autres,Advantage Taq 2 PCR Kit,100 runs,639201,,,bd biosciences,0
anticorps&autres,Advantage UltraPure PCR Deoxynucleotide Mix,4x100 µl,639125,,,bd biosciences,84
anticorps&autres,Alex 647 mouse anti-ERK1/2,1ml,612593,,,bd biosciences,348
anticorps&autres,Alexa 647 anti-AKT (S473),1ml,558314,,,bd biosciences,348
anticorps&autres,Alexa 647 anti-PLCg,1ml,557883,,,bd biosciences,348
anticorps&autres,Alexa 647 mouse anti-p38,1ml,612595,,,bd biosciences,348
anticorps&autres,Alexa 700 anti  mouse CD3,0.2,557984,,,bd biosciences,308
anticorps&autres,Alexa647 Anti-Stat1,,612597,,,bd biosciences,348
anticorps&autres,Alexa647 Anti-Stat5,,612599,,,bd biosciences,348
anticorps&autres,Annexin V FITC,200 tests,556419,,,bd biosciences,444.8
anticorps&autres,ANNEXIN V-PE,Tube 200 Tests,556421,,,bd biosciences,400
anticorps&autres,anti CD127 PE,,557938,,,bd biosciences,300
anticorps&autres,anti CD152 (CTLA4)- PE,100 tests,555853,,,bd biosciences,408.8
anticorps&autres,Anti CD152 (CTLA-4) PE #2,,553720,,,bd biosciences,239.2
anticorps&autres,anti CD25 APC,100 tests,555434,,,bd biosciences,404.8
anticorps&autres,anti CD28 PE-Cy5 ,100 tests,555730,,,bd biosciences,384.8
anticorps&autres,anti CD3 Pacific Blue,0.1mg,558117,,,bd biosciences,300
anticorps&autres,anti CD4 APC-Cy7,0.1mg,552051,,,bd biosciences,267.2
anticorps&autres,anti- CD4 pacific blue,,558116,,,bd biosciences,0
anticorps&autres,anti CD4 PE Cy7,0.1 mg,552775,,,bd biosciences,267.2
anticorps&autres,Anti CD5 APC,0.1 mg,550035,,,bd biosciences,378.4
anticorps&autres,anti CD8 APC-Cy7,0.1mg,557654,,,bd biosciences,267.2
anticorps&autres,Anti CD83 PE-Cy5,100 Tests,551058,,,bd biosciences,489.6
anticorps&autres,anti CD86 PE,2 ml,555658,,,bd biosciences,452
anticorps&autres,anti flotilin 1,50ug,610820,,,bd biosciences,259.2
anticorps&autres,anti H-2Db PE,0.1 mg,553574,,,bd biosciences,239.2
anticorps&autres,anti HLA-DR,1ml,347367,,,bd biosciences,589.6
anticorps&autres,anti HLA-DR APC Cy7,100  tests,335796,,,bd biosciences,716.8
anticorps&autres,Anti HLA-DR PE-Cy7 ,100 Tests,335795,,,bd biosciences,682.4
anticorps&autres,anti human CCR7 PE-Cy7,100 tests,557648,,,bd biosciences,404
anticorps&autres,"anti human CD154 PE antibody, clone TRAP1",100 tests,555700,,,bd biosciences,510.4
anticorps&autres,Anti human CD25 PE,100 tests,555432,,,bd biosciences,312
anticorps&autres,Anti Human CD27 FITC,100 Tests,555440,,,bd biosciences,276
anticorps&autres,anti human CD279 (PD-1),,557823,,,bd biosciences,152
anticorps&autres,Anti human CD28 PE ,100 tests,555729,,,bd biosciences,339.2
anticorps&autres,Anti Human CD3 FITC,100 tests,555339,,,bd biosciences,0
anticorps&autres,Anti human CD3 FITC ,100 tests,555332,,,bd biosciences,300
anticorps&autres,anti human CD3 PE- Cy7,vial,341091,,,bd biosciences,682.4
anticorps&autres,Anti Human CD3 PerCP Cy5.5,50 Tests,552852,,,bd biosciences,260
anticorps&autres,Anti Human CD4 APC Cy7,100 Tests,341095,,,bd biosciences,682.4
anticorps&autres,anti human CD4 PerCP Cy5.5,50test,341654,,,bd biosciences,404.8
anticorps&autres,anti Human CD4-APC,100 tests,555349,,,bd biosciences,404.8
anticorps&autres,Anti human CD69 PE ,100 tests,555531,,,bd biosciences,339.2
anticorps&autres,Anti human CD95 FITC,100 tests,555673,,,bd biosciences,372
anticorps&autres,anti human CD95 FITC,,556640,,,bd biosciences,171.2
anticorps&autres,anti human CD95 PE-Cy5,,559773,,,bd biosciences,450.4
anticorps&autres,Anti human HLA-A2,0.1mg,551230,,,bd biosciences,216
anticorps&autres,anti human IFNg APC,0.1mg,554702,,,bd biosciences,479.2
anticorps&autres,Anti human IgG APC,100test,550931,,,bd biosciences,391.2
anticorps&autres,anti human IL-2 APC,0.1 mg,554567,,,bd biosciences,479.2
anticorps&autres,Anti mouse Bcl-2 PE,100 tests,556537,,,bd biosciences,465.6
anticorps&autres,anti mouse CD103 PE,0.1mg,557495,,,bd biosciences,239.2
anticorps&autres,anti mouse CD122 PE,0.2mg,553362,,,bd biosciences,390.4
anticorps&autres,anti mouse CD127 Biotin,0.5 mg,555288,,,bd biosciences,332
anticorps&autres,anti mouse CD25 PE,0.2mg,553866,,,bd biosciences,390.4
anticorps&autres,anti mouse CD3PerCP,,553067,,,bd biosciences,355.2
anticorps&autres,anti mouse CD44-APC,,559250,,,bd biosciences,396.8
anticorps&autres,Anti mouse CD8a PE-Cy7,0.1 mg,552877,,,bd biosciences,300
anticorps&autres,anti mouse CD8-pacific blue,,558106,,,bd biosciences,263.2
anticorps&autres,anti mouse IFNg-FITC,,554411,,,bd biosciences,308
anticorps&autres,anti p-Stat4  alexa 647,,558137,,,bd biosciences,348
anticorps&autres,Anti Rat/Hamster Ig K/neg control compensation Particles Set,6 ml,552845,,,bd biosciences,157.6
anticorps&autres,anti Rhe CD4-APC,50 test,551980,,,bd biosciences,232.8
anticorps&autres,Anti TCR aB Fitc,,347773,,,bd biosciences,636
anticorps&autres,anti Thy 1.2 Biotin,0.5 mg,553011,,,bd biosciences,315.2
anticorps&autres,anti TRAFY Ab,,610866,,,bd biosciences,324
anticorps&autres,antibody CD27 FITC,,340424,,,bd biosciences,0
anticorps&autres,anti-body CD3 Alexa 700,0.5 ml tube,557943,,,bd biosciences,288
anticorps&autres,Anti-Body CD4 APC Cy7,bottle,557871,,,bd biosciences,354.4
anticorps&autres,Anti-Body CD45RA APC,2.0ml bottle,550855,,,bd biosciences,372.8
anticorps&autres,Anti-CD14 APC-Cy7,100 tests,557831,,,bd biosciences,384.8
anticorps&autres,anti-CD154-FITC,100 tests,555699,,,bd biosciences,342.4
anticorps&autres,anti-CD26 humain PE,100 tests,555437,,,bd biosciences,339.2
anticorps&autres,Anti-CD3 PE-CY7,0.1mg,552774,,,bd biosciences,227.2
anticorps&autres,anti-CD31,,555446,,,bd biosciences,382
anticorps&autres,Anti-CD4 Alexa 700,0.1mg,557956,,,bd biosciences,262.4
anticorps&autres,Anti-CD44 PE-CY5,0.1mg,553135,,,bd biosciences,239.2
anticorps&autres,anti-CD45RA-CyChrome humain,2 ml,555490,,,bd biosciences,384.8
anticorps&autres,anti-CD47 antibody,,556044,,,bd biosciences,170
anticorps&autres,anti-CD4-PE,2 ml,347327,,,bd biosciences,612.8
anticorps&autres,anti-CD81 APC,antibody,551112,,,bd biosciences,400
anticorps&autres,anti-CD81 PE,antibody,555676,,,bd biosciences,312
anticorps&autres,anticorps anti-mouse IFNg APC,,554413,,,bd biosciences,444.8
anticorps&autres,anticorps anti-mouse IL-2 PE,,554428,,,bd biosciences,376.8
anticorps&autres,Anticorps anti-TNFalpha PE-Cy7,100 tests,557647,,,bd biosciences,444.8
anticorps&autres,Anticorps IL6-PE,0.1 mg,554697,,,bd biosciences,404
anticorps&autres,"Anti-Gfi-1 Polyclonal Antibody, Unconjugated",0.1 ml,559680,,,bd biosciences,267.2
anticorps&autres,Anti-humain,0.1,554565,,,bd biosciences,376.8
anticorps&autres,anti-humain CCR7 purified,0.1mg,552175,,,bd biosciences,205.6
anticorps&autres,Anti-humain CD107a PE,100 tests,555801,,,bd biosciences,339.2
anticorps&autres,anti-humain CD14 Pacific Blue,,558121,,,bd biosciences,300
anticorps&autres,anti-humain CD154 APC lot 40093,100 tests,555702,,,bd biosciences,514.4
anticorps&autres,anti-humain CD19 PECy7,100test,557835,,,bd biosciences,354.4
anticorps&autres,anti-humain CD1a FITC,2 ml,555806,,,bd biosciences,276
anticorps&autres,Anti-humain CD28 Pure,500 ug,348040,,,bd biosciences,707.2
anticorps&autres,anti-humain CD3 APC,2.0 ml,555335,,,bd biosciences,372.8
anticorps&autres,Anti-humain CD3 PE-Cy7,100 tests,557851,,,bd biosciences,384.8
anticorps&autres,anti-humain CD4 AmCyan,100 tests,339187,,,bd biosciences,906
anticorps&autres,anti-humain CD4 AmCyan,,custom made,,,bd biosciences,0
anticorps&autres,anti-humain CD56 PECy7,100test,335791,,,bd biosciences,716.8
anticorps&autres,Anti-humain CD8 PerCpCy5.5,50 tests,341051,,,bd biosciences,384.8
anticorps&autres,anti-humain CD80 PECy5,2 ml,559370,,,bd biosciences,783
anticorps&autres,anti-humain DC-SIGN (CD209) PE,100 tests,551265,,,bd biosciences,510.4
anticorps&autres,Anti-humain IFN antibody,0.1mg,554701,,,bd biosciences,404
anticorps&autres,anti-humain IFN-g  FITC,0.1 mg,554700,,,bd biosciences,376.8
anticorps&autres,Anti-humain IFNg APC,100 tests,341117,,,bd biosciences,632.8
anticorps&autres,Anti-humain IL2 PE,50 tests,340450,,,bd biosciences,348
anticorps&autres,anti-human CD107a PE Cy5,2,555802,,,bd biosciences,404
anticorps&autres,anti-human CD26 Cy-Chrome,2.0ml bottle,555438,,,bd biosciences,354.4
anticorps&autres,anti-human CD27 PE,vial,340425,,,bd biosciences,345.6
anticorps&autres,Anti-Human CD27 PE,100 tests,555441,,,bd biosciences,312
anticorps&autres,anti-human CD28 antibody APC,1 bottle,559770,,,bd biosciences,354.4
anticorps&autres,anti-human CD3-APC,2.0 ml,555342,,,bd biosciences,404.8
anticorps&autres,anti-human CD4-Alexa700,0.5ml,557922,,,bd biosciences,300
anticorps&autres,anti-human CD5-PE,,555353,,,bd biosciences,312
anticorps&autres,Anti-human CD86,100,555660,,,bd biosciences,450.4
anticorps&autres,anti-human CD8-Alexa 700,,557945,,,bd biosciences,316.8
anticorps&autres,anti-human CD99 PE (clone TÜ12),100 tests,555689,,,bd biosciences,312
anticorps&autres,anti-human FiTC-CLA,,555947,,,bd biosciences,289.6
anticorps&autres,anti-human HLA-A2-FITC,,551285,,,bd biosciences,276
anticorps&autres,anti-human PE-CD29 (integrin beta1),,555443,,,bd biosciences,312
anticorps&autres,anti-human PE-Cy5 CD1a,,555808,,,bd biosciences,354.4
anticorps&autres,anti-human PE-integrin beta7,,555945,,,bd biosciences,326.4
anticorps&autres,anti-Ki67 FITC conjugated staining kit ,2  ml,556026,,,bd biosciences,424.8
anticorps&autres,anti-mouse CD3 FITC ,0.1mg,553061,,,bd biosciences,116.8
anticorps&autres,anti-mouse CD4 Biotin,0.1mg,553044,,,bd biosciences,117
anticorps&autres,anti-mouse CD44 PE,0.5ml,553134,,,bd biosciences,280.8
anticorps&autres,ANTI-MOUSE H-2Dd PE ,,553580,,,bd biosciences,280.8
anticorps&autres,anti-TCR-b (H57-597),0.5 mg,553167,,,bd biosciences,273.6
anticorps&autres,APC anti mouse CD25,0.1mg,557192,,,bd biosciences,396.8
anticorps&autres,APC conjugated anti human CD11c,,559877,,,bd biosciences,372.8
anticorps&autres,APC conjugated mouse anti-human ,2 ml,559875,,,bd biosciences,339.2
anticorps&autres,APCCy7 labeled anti-human CD8,100 tests,348793,,,bd biosciences,554.45
anticorps&autres,APC-Cy7-conjugated mouse anti-human CD8 (RPA-T8),1,557760,,,bd biosciences,246.4
anticorps&autres,B27 purified mouse anti-human IFN-g,0.5 mg,554698,,,bd biosciences,479.2
anticorps&autres,Bcl-2-PE antibody,,556535,,,bd biosciences,524
anticorps&autres,BD Baculo Gold Max XP Serum free insect medium,1L,551411,,,bd biosciences,57.6
anticorps&autres,"BD CompBeads, anti-mouse Ig kappa chain",6 ml,552843,,,bd biosciences,157.6
anticorps&autres,"BD CompBeads, anti-rat Ig kappa chain",6 ml,552844,,,bd biosciences,157.6
anticorps&autres,BD Cytofix,100ml,554655,,,bd biosciences,151.2
anticorps&autres,BD Cytofix solution,,554722,,,bd biosciences,171.2
anticorps&autres,BD FACS Lysing solution,100ml,349202,,,bd biosciences,428
anticorps&autres,BD Perm Buffer III,,558050,,,bd biosciences,226.4
anticorps&autres,BD pharmingen Stain Buffer,,554656,,,bd biosciences,137.6
anticorps&autres,BD Stabilizing Fixative,90 ml,338036,,,bd biosciences,360
anticorps&autres,Biotin anti-mouse H-2Dq (KH117),0.2ml,558969,,,bd biosciences,152
anticorps&autres,Biotin conjugated mouse anti rat IgG2a ,0.5 mg,553894,,,bd biosciences,267.2
anticorps&autres,Biotin conjugated Rat Anti Mouse Ly-6C,0.1 mg,557359,,,bd biosciences,128.8
anticorps&autres,Biotin conjugated rat anti-mouse CD86,"0,5 mg",553690,,,bd biosciences,417.6
anticorps&autres,Biotin-Conjugated Rat Anti-Mouse CD8b.2 (Ly-3.2),0.5 mg,553039,,,bd biosciences,332
anticorps&autres,Biotinylated anti mouse CD3 e,0.5mg,553060,,,bd biosciences,390.4
anticorps&autres,Biotinylated anti-human CCR7,,552174,,,bd biosciences,331.2
anticorps&autres,BrdU,5.0,550891,,,bd biosciences,103.2
anticorps&autres,CCR5 APC,,556903,,,bd biosciences,600.3
anticorps&autres,CD 134 (OX40) PE-Cy5 ,100 tests,551500,,,bd biosciences,384.8
anticorps&autres,CD 134 FITC,,555837,,,bd biosciences,355.5
anticorps&autres,CD 25 PE cy7,,557741,,,bd biosciences,432.9
anticorps&autres,CD 47 PE,,556046,,,bd biosciences,381.6
anticorps&autres,CD14-FITC (anti-humain),100 tests,555397,,,bd biosciences,300
anticorps&autres,CD154 PE-Cy5,100,555701,,,bd biosciences,564.8
anticorps&autres,CD16 Pe-Cy5,100 tests,555408,,,bd biosciences,384.8
anticorps&autres,CD16 Purified,100 tests,555404,,,bd biosciences,156.8
anticorps&autres,CD16/CD32,0.1 mg,553141,,,bd biosciences,104.8
anticorps&autres,CD160 FITC,100 tests,551888,,,bd biosciences,300
anticorps&autres,CD1a purified,,555805,,,bd biosciences,176.4
anticorps&autres,CD25 FITC,,347643,,,bd biosciences,541.6
anticorps&autres,CD25 PE,1ml,341009,,,bd biosciences,328.8
anticorps&autres,CD25 Pe-Cy5,100test,555433,,,bd biosciences,354.4
anticorps&autres,CD26 pure,,555435,,,bd biosciences,156.8
anticorps&autres,CD27 APC,,337169,,,bd biosciences,664.8
anticorps&autres,CD274 PE Cy7,"0,1mg",558017,,,bd biosciences,300
anticorps&autres,CD28 Hu ,0.5 mg,555725,,,bd biosciences,559.2
anticorps&autres,CD28 PE,2 ml,348047,,,bd biosciences,596
anticorps&autres,CD3 APC,500 ul,340440,,,bd biosciences,632.8
anticorps&autres,CD3 APC-Cy 7,,557757,,,bd biosciences,216
anticorps&autres,CD3e APC ,0.1mg,553066,,,bd biosciences,444.8
anticorps&autres,CD4 Am Cyan,"0,1 mg",558148,,,bd biosciences,378
anticorps&autres,CD4 APC CLONE RM4-5,0.1MG,553051,,,bd biosciences,444.8
anticorps&autres,CD4 FITC,,553650,,,bd biosciences,130.4
anticorps&autres,CD4 PE-Cy5 (BD Cy-chrome),,555348,,,bd biosciences,384.8
anticorps&autres,CD45 PEcy5,100test,555484,,,bd biosciences,354.4
anticorps&autres,CD48 PE,100 tests,552855,,,bd biosciences,339.2
anticorps&autres,CD49d,0.2,340976,,,bd biosciences,452.8
anticorps&autres,CD57 FITC,,555619,,,bd biosciences,300
anticorps&autres,CD62L BIO ,,553149,,,bd biosciences,417.6
anticorps&autres,CD62L-APC,,553152,,,bd biosciences,444.8
anticorps&autres,CD8  PE-Cy5 (BD Cy-Chrome™),2ml,555368,,,bd biosciences,384.8
anticorps&autres,CD8 PerCP,2 mL,347314,,,bd biosciences,713.6
anticorps&autres,CD8 PerCP Cy5.5,,341050,,,bd biosciences,0
anticorps&autres,CD8a APC ,,553035,,,bd biosciences,444.8
anticorps&autres,CD8a BIOTYNYLATED,,553029,,,bd biosciences,363.2
anticorps&autres,CD8a PE anti-mouse ,0.2mg 1ml,553033,,,bd biosciences,240
anticorps&autres,CD8a PERCP,0.1mg,553036,,,bd biosciences,355.2
anticorps&autres,CD8-Alexa 700,0.1mg,557945,,,bd biosciences,316.8
anticorps&autres,CD8-FITC,100 tests,555366,,,bd biosciences,276
anticorps&autres,Cell Mab basal medium,1000ml,220511,,,bd biosciences,33.95
anticorps&autres,CELLine CL-1000,3 flasks,353137,,,bd biosciences,0
anticorps&autres,CXCR4-APC,100 test,555976,,,bd biosciences,491.2
anticorps&autres,F(ab')2 biotin anti-mouse,0.1 mg,551505,,,bd biosciences,163
anticorps&autres,FACS Clean,5 L,340345,,,bd biosciences,52
anticorps&autres,Facs Flow,20L/Boît,342003,,,bd biosciences,45
anticorps&autres,Facs Permeabilizing Solution,,340973,,,bd biosciences,560.8
anticorps&autres,FacsRinse,5 L,340346,,,bd biosciences,48.8
anticorps&autres,FITC anti mouse I-Ab,"0,5mg",553551,,,bd biosciences,355.2
anticorps&autres,FITC anti-human CD273 (PD-L2),0.1 mg,557846,,,bd biosciences,316.8
anticorps&autres,FITC bcl-2 set,,554234,,,bd biosciences,404
anticorps&autres,FITC cong Bcl-2 ab reagent set,,554221,,,bd biosciences,404
anticorps&autres,FITC conjugated anti human HLA-DR,,556643,,,bd biosciences,171.2
anticorps&autres,FITC conjugated mouse anti-human TNF,50test,552889,,,bd biosciences,151.2
anticorps&autres,FITC fluorescein isothioacyanate,100test,556577,,,bd biosciences,404
anticorps&autres,FITC Ly-51 (6C3/BP1),0.5 mg,553160,,,bd biosciences,372.8
anticorps&autres,FITC-conjugated goat anti-rabbit,0.5 mg,554020,,,bd biosciences,184.8
anticorps&autres,FITC-conjugated Mouse Anti-BrdU Antibody,100 test,556028,,,bd biosciences,424.8
anticorps&autres,FITC-CONJUGATED RAT ANTI-MOUSE CD117 (c-KIT),0.5 mg,553354,,,bd biosciences,573
anticorps&autres,Fixation/Permeabilization,250,554714,,,bd biosciences,308
anticorps&autres,goat anti-mouse Igs,0.5mg,553998,,,bd biosciences,157.6
anticorps&autres,GolgiStop ,0.7 mL,554724,,,bd biosciences,68.8
anticorps&autres,Human IL-2 elisa,kit,555190,,,bd biosciences,780
anticorps&autres,Human Inflamation Kit,80test,551811,,,bd biosciences,1641.6
anticorps&autres,IFNg Alexa 700 ,1,557998,,,bd biosciences,308
anticorps&autres,"IFN-g, Recombinant human",25ug,554616,,,bd biosciences,0
anticorps&autres,IFN-gamma PE-Cy7 mouse IgG1,100 tests,557643,,,bd biosciences,384.8
anticorps&autres,IL2 APC,,551383,,,bd biosciences,232
